                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.06689,                      1,                      1,                0.15486,             0.00023702,             0.00023702,             0.00023702
                      1,                 0.0133,                      1,                      1,                0.15347,             0.00046718,             0.00046718,             0.00046718
                      2,                0.00947,                      1,                      1,                0.15368,             0.00068949,             0.00068949,             0.00068949
                      3,                 0.0076,                0.99822,                      1,                0.15428,             0.00067866,             0.00067866,             0.00067866
                      4,                0.01516,                      1,                      1,                0.15443,             0.00067866,             0.00067866,             0.00067866
                      5,                0.01018,                0.98221,                      1,                0.16424,             0.00066688,             0.00066688,             0.00066688
                      6,                0.00449,                      1,                      1,                0.15319,             0.00065509,             0.00065509,             0.00065509
                      7,                0.00387,                      1,                      1,                0.15287,             0.00064331,             0.00064331,             0.00064331
                      8,                0.00527,                      1,                      1,                 0.1538,             0.00063153,             0.00063153,             0.00063153
                      9,                0.00246,                0.99822,                      1,                0.15478,             0.00061975,             0.00061975,             0.00061975
                     10,                0.00202,                      1,                      1,                0.15293,             0.00060797,             0.00060797,             0.00060797
                     11,                0.00382,                      1,                      1,                  0.153,             0.00059619,             0.00059619,             0.00059619
                     12,                0.00318,                      1,                      1,                0.15285,             0.00058441,             0.00058441,             0.00058441
                     13,                0.00061,                      1,                      1,                0.15422,             0.00057263,             0.00057263,             0.00057263
                     14,                0.00251,                      1,                      1,                0.15291,             0.00056085,             0.00056085,             0.00056085
                     15,                0.00046,                      1,                      1,                0.15291,             0.00054907,             0.00054907,             0.00054907
                     16,                0.00099,                      1,                      1,                0.15287,             0.00053728,             0.00053728,             0.00053728
                     17,                0.00057,                      1,                      1,                0.15291,              0.0005255,              0.0005255,              0.0005255
                     18,                0.00056,                      1,                      1,                0.15296,             0.00051372,             0.00051372,             0.00051372
                     19,                0.00107,                      1,                      1,                0.15288,             0.00050194,             0.00050194,             0.00050194
                     20,                0.00178,                0.98399,                      1,                0.16358,             0.00049016,             0.00049016,             0.00049016
